GEO_ID,NAME,C14002_016E
24001,"Allegany County, Maryland",2841
24003,"Anne Arundel County, Maryland",21073
24005,"Baltimore County, Maryland",28586
24009,"Calvert County, Maryland",4647
24013,"Carroll County, Maryland",8607
24015,"Cecil County, Maryland",4585
24017,"Charles County, Maryland",8128
24021,"Frederick County, Maryland",14411
24025,"Harford County, Maryland",11056
24027,"Howard County, Maryland",17410
24031,"Montgomery County, Maryland",50271
24033,"Prince George's County, Maryland",37870
24037,"St. Mary's County, Maryland",6060
24043,"Washington County, Maryland",6995
24045,"Wicomico County, Maryland",5072
24510,"Baltimore city, Maryland",20648